ID,Answer
TEST_072,3
TEST_073,1
TEST_074,2
TEST_075,2
TEST_076,3
TEST_077,4
TEST_078,1
TEST_079,4
TEST_080,5
TEST_081,1
TEST_082,"딥페이크 기술 악용에 대비하기 위해서는 금융권은 먼저 딥페이크를 이용한 금융사기 범죄에 대해 선제적인 대응 체계를 구축해야 합니다. 또한, 관련 정책 마련을 포함하여 딥페이크 기술의 발전과 함께 이를 악용한 새로운 형태의 사기를 미리 예측하고 대비하는 것이 중요합니다."
TEST_083,3
TEST_084,2
TEST_085,1
TEST_086,3
TEST_087,1
TEST_088,2
TEST_089,1
TEST_090,3
TEST_091,3
TEST_092,3
TEST_093,3
TEST_094,5
TEST_095,2
TEST_096,2
TEST_097,3
TEST_098,3
TEST_099,5
TEST_100,3
TEST_101,"디지털 지갑에서 우려되는 주요 보안 위협에는 지갑 거부 공격(Denial of Wallet, DoW), 연속 입력 오버플로우, 고비용 질의 등이 있습니다. 지갑 거부 공격은 과도한 요청을 통해 경제적 피해를 유발하고, 서비스 제공자가 예기치 못한 비용 초과로 인해 서비스를 중단하게 만들 수 있으며, 연속 입력 오버플로우는 LLM의 컨텍스트 윈도우 한계를 초과하는 입력을 지속적으로 전송하여 불필요한 리소스 소비를 유도합니다. 또한, 고비용 질의는 공격자가 복잡한 언어 구조와 연산을 통해 높은 비용을 부담시키는 공격 방법입니다. 이러한 위협들은 디지털 지갑의 이용 확대로 인해 더욱 증가할 가능성이 있으므로, 철저한 보안대책이 요구됩니다."
TEST_102,"개인정보 접근 권한 검토는 개인정보보호법에 따라 개인정보를 처리하는 직원들에게 최소한의 권한만 부여하도록 하는 것을 의미합니다. 이를 통해 개인 정보가 불필요하게 노출되거나 유출되는 것을 방지하고, 개인정보의 안전성을 유지하는데 목적이 있습니다. 이러한 검토는 개인정보를 다루는 직원들의 업무와 관련된 최소한의 권한만을 부여함으로써, 정보의 유출이나 침해를 최소화하는 데 중점을 두고 있습니다."
TEST_103,1
TEST_104,1
TEST_105,4
TEST_106,2
TEST_107,2
TEST_108,2
TEST_109,4
TEST_110,1
TEST_111,3
TEST_112,3
TEST_113,5
TEST_114,1
TEST_115,4
TEST_116,1
TEST_117,5
TEST_118,3
TEST_119,2
TEST_120,2
TEST_121,3
TEST_122,3
TEST_123,5
TEST_124,3
TEST_125,2
TEST_126,정보보호의 3대 요소에는 다음과 같은 보안 목표가 포함됩니다:
TEST_127,5
TEST_128,2
TEST_129,1
TEST_130,3
TEST_131,"금융회사에서 정보기술부문 인력 규모를 결정할 때, 전산자회사의 인력 중 70명과 30명 부분은 운영비용 분담비율을 반영한 인력 규모로 인정됩니다. 이는 금융지주회사의 IT 자회사나 금융회사의 동일 기업 집단이 지분을 50% 이상 소유하는 IT 자회사, 그리고 회원사의 전자금융시스템 운영을 공동 수탁하는 기관들에 적용되는 기준입니다. 이러한 기준은 정보보호와 관련된 인력 및 예산을 효율적으로 관리하기 위해 설정되었습니다."
TEST_132,1
TEST_133,2
TEST_134,3
TEST_135,2
TEST_136,3
TEST_137,4
TEST_138,1
TEST_139,1
TEST_140,1
TEST_141,1
TEST_142,3
TEST_143,2
TEST_144,2
TEST_145,5
TEST_146,3
TEST_147,1
TEST_148,4
TEST_149,3
TEST_150,2
TEST_151,4
TEST_152,4
TEST_153,2
TEST_154,4
TEST_155,4
TEST_156,3
TEST_157,2
TEST_158,3
TEST_159,2
TEST_160,3
TEST_161,1
TEST_162,1
TEST_163,4
TEST_164,2
TEST_165,2
TEST_166,4
TEST_167,2
TEST_168,3
TEST_169,3
TEST_170,2
TEST_171,4
TEST_172,2
TEST_173,3
TEST_174,3
TEST_175,3
TEST_176,2
TEST_177,2
TEST_178,2
TEST_179,2
TEST_180,1
TEST_181,3
TEST_182,"SMTP 프로토콜은 전자 우편(E-mail)을 전송하기 위해 사용되며, 이는 인터넷 상에서 중요한 정보를 안전하게 전달하는데 필수적입니다. 또한, SMTP는 전송 중인 메일의 무결성을 보장하고, 이를 통해 메일이 원래 목적지에 도착했음을 확인할 수 있습니다. 이러한 특징 덕분에 SMTP는 전자우편 서비스의 안전성과 신뢰성을 유지하는 데 중요한 역할을 합니다."
TEST_183,3
TEST_184,4
TEST_185,1
TEST_186,4
TEST_187,4
TEST_188,3
TEST_189,2
TEST_190,1
TEST_191,4
TEST_192,4
TEST_193,3
TEST_194,5
TEST_195,3
TEST_196,2
TEST_197,4
TEST_198,2
TEST_199,ID/PW 기반 인증 환경에서는 주로 다음과 같은 공격 유형이 발생할 수 있습니다:
TEST_200,3
TEST_201,3
TEST_202,4
TEST_203,5
TEST_204,3
TEST_205,"전자자금이체의 지급 효력 발생 시점은 거래지시된 금액의 정보에 대해 수취인의 계좌가 개설되어 있는 금융회사 또는 전자금융업자의 계좌의 원장에 입금기록이 끝난 때입니다. 즉, 해당 금액이 실제로 수취인의 계좌에 입금되었음을 확인할 때 지급 효력이 발생합니다."
TEST_206,5
TEST_207,2
TEST_208,4
TEST_209,1
TEST_210,3
TEST_211,4
TEST_212,1
TEST_213,1
TEST_214,1
TEST_215,2
TEST_216,3
TEST_217,3
TEST_218,2
TEST_219,3
TEST_220,4
TEST_221,3
TEST_222,3
TEST_223,4
TEST_224,2
TEST_225,2
TEST_226,1
TEST_227,3
TEST_228,5
TEST_229,4
TEST_230,3
TEST_231,2
TEST_232,3
TEST_233,1
TEST_234,3
TEST_235,2
TEST_236,4
TEST_237,2
TEST_238,3
TEST_239,4
TEST_240,3
TEST_241,4
TEST_242,2
TEST_243,2
TEST_244,5
TEST_245,"DNSSEC(Domain Name System Security Extensions)는 DNS 서버와 클라이언트 사이의 신뢰성과 보안을 강화하기 위한 기술입니다. 이 기술은 DNS 메세지를 암호화하고 서명하여, DNS 정보의 무결성과 유효성을 보장합니다. 이를 통해 DNS 서버에서 보내는 정보가 변조되거나 해킹을 당했을 때 이를 바로잡을 수 있습니다. 이렇게 DNSSEC를 통해 해결할 수 있는 보안 위협에는 DNS 피싱, DNS 대체 공격, DNS 중재 공격 등이 포함됩니다. 이러한 공격들은 DNS 정보를 이용해 사용자에게 잘못된 IP 주소를 제공하거나, 웹사이트를 위조하여 정보 유출 등을 일으키는 것을 목적으로 합니다."
TEST_246,2
TEST_247,2
TEST_248,3
TEST_249,5
TEST_250,5
TEST_251,3
TEST_252,1
TEST_253,2
TEST_254,3
TEST_255,1
TEST_256,4
TEST_257,4
TEST_258,4
TEST_259,3
TEST_260,3
TEST_261,1
TEST_262,3
TEST_263,2
TEST_264,1
TEST_265,4
TEST_266,3
TEST_267,5
TEST_268,1
TEST_269,1
TEST_270,2
TEST_271,2
TEST_272,4
TEST_273,2
TEST_274,1
TEST_275,4
TEST_276,4
TEST_277,3
TEST_278,4
TEST_279,2
TEST_280,5
TEST_281,2
TEST_282,1
TEST_283,1
TEST_284,3
TEST_285,5
TEST_286,4
TEST_287,1
TEST_288,3
TEST_289,3
TEST_290,2
TEST_291,4
TEST_292,2
TEST_293,3
TEST_294,4
TEST_295,3
TEST_296,2
TEST_297,2
TEST_298,3
TEST_299,4
TEST_300,3
TEST_301,2
TEST_302,3
TEST_303,1
TEST_304,3
TEST_305,5
TEST_306,2
TEST_307,1
TEST_308,1
TEST_309,3
TEST_310,1
TEST_311,1
TEST_312,4
TEST_313,4
TEST_314,3
TEST_315,5
TEST_316,3
TEST_317,2
TEST_318,1
TEST_319,2
TEST_320,2
TEST_321,1
TEST_322,2
TEST_323,1
TEST_324,4
TEST_325,3
TEST_326,1
TEST_327,1
TEST_328,4
TEST_329,2
TEST_330,1
TEST_331,4
TEST_332,3
TEST_333,1
TEST_334,4
TEST_335,4
TEST_336,4
TEST_337,1
TEST_338,4
TEST_339,2
TEST_340,4
TEST_341,3
TEST_342,3
TEST_343,2
TEST_344,2
TEST_345,3
TEST_346,4
TEST_347,4
TEST_348,4
TEST_349,2
TEST_350,1
TEST_351,2
TEST_352,4
TEST_353,1
TEST_354,4
TEST_355,4
TEST_356,1
TEST_357,3
TEST_358,1
TEST_359,1
TEST_360,1
TEST_361,2
TEST_362,1
TEST_363,3
TEST_364,1
TEST_365,2
TEST_366,1
TEST_367,3
TEST_368,2
TEST_369,4
TEST_370,1
TEST_371,1
TEST_372,2
TEST_373,3
TEST_374,4
TEST_375,1
TEST_376,2
TEST_377,2
TEST_378,1
TEST_379,3
TEST_380,3
TEST_381,2
TEST_382,1
TEST_383,2
TEST_384,4
TEST_385,4
TEST_386,5
TEST_387,2
TEST_388,1
TEST_389,4
TEST_390,4
TEST_391,2
TEST_392,4
TEST_393,1
TEST_394,3
TEST_395,3
TEST_396,3
TEST_397,3
TEST_398,3
TEST_399,3
TEST_400,1
TEST_401,1
TEST_402,3
TEST_403,1
TEST_404,4
TEST_405,1
TEST_406,3
TEST_407,3
TEST_408,1
TEST_409,4
TEST_410,4
TEST_411,4
TEST_412,3
TEST_413,1
TEST_414,4
TEST_415,2
TEST_416,"VLAN(Virtual Local Area Network)은 물리적으로 연결되어 있지 않은 여러 네트워크 장비들을 가상의 네트워크로 묶어주는 기술입니다. 이를 통해 같은 VLAN에 속한 컴퓨터들은 서로 직접적으로 통신이 가능하게 하며, 다른 VLAN에는 접근이 불가하도록 설정할 수 있습니다. 이렇게 하면 네트워크 안전성을 강화하고, 네트워크 트래픽을 효율적으로 관리할 수 있습니다."
TEST_417,3
TEST_418,1
TEST_419,1
TEST_420,3
TEST_421,4
TEST_422,5
TEST_423,3
TEST_424,2
TEST_425,4
TEST_426,1
TEST_427,2
TEST_428,1
TEST_429,2
TEST_430,1
TEST_431,4
TEST_432,4
TEST_433,3
TEST_434,3
TEST_435,1
TEST_436,1
TEST_437,3
TEST_438,4
TEST_439,3
TEST_440,2
TEST_441,2
TEST_442,5
TEST_443,3
TEST_444,2
TEST_445,4
TEST_446,1
TEST_447,3
TEST_448,2
TEST_449,1
TEST_450,4
TEST_451,4
TEST_452,4
TEST_453,2
TEST_454,2
TEST_455,2
TEST_456,1
TEST_457,4
TEST_458,"개인신용평점 하락 가능성과 관련해 설명의무가 발생하는 경우, 금융기관은 고객에게 다음과 같은 주요 내용을 설명해야 합니다. 첫째, 개인신용평가 점수가 어떻게 결정되는지에 대해 설명하고, 둘째, 특정 행동이나 상황이 개인신용평가 점수에 어떤 영향을 미칠 수 있는지를 명시합니다. 이를 통해 금융기관은 고객이 자신의 신용평가 점수를 이해하고, 적절한 행동을 취하도록 돕습니다."
TEST_459,3
TEST_460,2
TEST_461,4
TEST_462,2
TEST_463,4
TEST_464,1
TEST_465,4
TEST_466,2
TEST_467,4
TEST_468,3
TEST_469,4
TEST_470,5
TEST_471,특수 계정에 대한 보안조치 방안은 다음과 같습니다:
TEST_472,1
TEST_473,4
TEST_474,1
TEST_475,5
TEST_476,4
TEST_477,2
TEST_478,4
TEST_479,4
TEST_480,4
TEST_481,5
TEST_482,3
TEST_483,3
TEST_484,2
TEST_485,1
TEST_486,1
TEST_487,3
TEST_488,5
TEST_489,3
TEST_490,2
TEST_491,1
TEST_492,5
TEST_493,4
TEST_494,2
TEST_495,5
TEST_496,2
TEST_497,5
TEST_498,4
TEST_499,1
TEST_500,2
TEST_501,4
TEST_502,4
TEST_503,1
TEST_504,3
TEST_505,3
TEST_506,4
TEST_507,전자금융데이터 보안에서 암호화 방식을 선택할 때 고려해야 할 주요 기준은 다음과 같습니다:
TEST_508,3
TEST_509,3
TEST_510,4
TEST_511,4
TEST_512,3
TEST_513,4
TEST_514,1
