id,question,type,batch,temperature
29,해외 사업자가 국내에서 수집한 개인 정보를 보호하기 위한 주요 조치들은 무엇인가요?,definition,1,0.1
30,개인정보 처리자가 개인정보 취급자 별로 독립된 계정을 생성하고 이를 서로 공유하지 않는 이유는 무엇인가?,definition,1,0.1
31,보건복지부 장관이 표본감시기관의 지정을 취소할 수 있는 조건과 관련된 법적인 근거는 무엇인가?,definition,1,0.1
32,약국의 소유권이 전환되는 상황에서는 어떻게 하여야 하는지를 포함해 개인정보보호법상 중요한 점들을 설명해주세요?,definition,1,0.1
33,"비밀번호는 어떻게 구성되어 있으며, 사용자의 안전성을 위해 어떠한 조건들을 만족해야 할까요?",definition,1,0.1
34,정보주체 본인확인 과정에서 시행령 제46조제1항에 따른 본인 확인 방법 중 하나는 무엇이며 그 특징은 무엇인지를 설명해주세요?,definition,1,0.1
35,개인정보 유출 사태에서 정보주체는 어떠한 정보들을 제공받아야 하는지를 설명해주시겠습니까?,definition,1,0.1
36,의료기관에서 환자를 위한 정보 접근 권한을 갖는 대리인이 필요한 서류와 조건은 무엇인가요?,definition,1,0.1
37,"조사 및 사전 실태점검 권한을 가진 개인정보보호위원회가 언제와 어떻게 조사를 진행하며, 그 목적과 범위는 무엇인지를 설명하라?",definition,1,0.1
38,"위험가중자산과 위험가중치는 각각 무엇을 의미하며, 이들의 관계와 중요성은 어떻게 되는지를 설명해주세요.?",definition,1,0.1
39,개인정보 전송요구권이란 어떤 권리며 그 목적과 적용 대상을 간단히 설명해 주십시오?,definition,1,0.1
40,개인정보보호책임자가 수행해야 하는 주요 업무 중에서 내부 관리계획의 수립과 수정 과정에는 어떠한 절차들이 포함되는지를 설명해주시겠어요? 개인 정보 처리자를 대상으로 최고 경영층의 승인이 필요한 부분도 함께 언급 부탁드립니다.?,definition,1,0.1
41,"개인정보 수집과 이용의 목적이 각각 무엇이며, 이 과정에서 해당 정보를 제공받는 주된 당사자는 누구인가?",definition,1,0.1
42,일반수신자가 받은 개인 정보를 어떻게 관리해야 하는지를 간략히 설명해주세요?,definition,1,0.1
43,개인정보 전송요구권 제도가 무엇인지 그리고 그 목적은 무엇인지 간단히 설명해주세요?,definition,1,0.1
44,국내에서 수집한 개인 정보를 보호하기 위한 해외 사업자의 의무사항 중 개인 정보 수집 시 요구되는 조건과 그 이유는 무엇인가?,definition,1,0.1
45,"개인정보 유출이란 어떤 경우들을 의미하며, 이를 정의하여 설명하라? \n\n?",definition,1,0.1
46,개인정보 파일 중 '출생증명서'와 관련된 근거법령과 그 적용 범위를 간략히 설명해 주십시오?,definition,1,0.1
47,개인정보의 누설 또는 타인에 의한 불법 이용으로 인해 발생하는 법적인 책임과 관련된 최대 형량과 벌금액은 각각 얼마일까요?,definition,1,0.1
48,개인정보 처리자가 고유식별정보와 비밀번호를 어떻게 관리해야 하는지를 설명하라?,definition,1,0.1
49,약국이 개인정보 처리방침을 수립함에 있어 반드시 포함되어야 하는 기본적인 요소들은 무엇인지를 설명하여라?,definition,1,0.1
50,「개인정보 보호법」에서 말하는 '개인정보 처리자'가 누구를 의미하며 그들의 의무와 책임은 어떠한 것들이 있는지를 간단히 설명하여라?,definition,1,0.1
51,개인정보 처리방침을 변경하려면 어떻게 하여야 하는지를 설명해 주세요?,process,1,0.1
52,개인정보 처리자가 개인 정보를 전체적으로 파기해야 하는 상황에서 법령에 따라 어떠한 순서와 방식으로 진행되어야 할까요?,process,1,0.1
53,개인정보보호법에 따른 개인정보 처리 과정에서 개인정보 취급자가 비밀번호를 안전하게 관리하기 위해서 어떠한 조치를 해야 하는지 설명하시오?,process,1,0.1
54,정보주체로부터 개인 정보 전송 요청을 받아 이를 처리해야 하는 기업에서는 어떠한 절차와 조치를 취하여야 할까요?,process,1,0.1
55,"전자적 파일을 영구적으로 삭제하려 할 때 필요한 과정들은 무엇이며, 이를 수행함에 있어 주의해야 하는 요건들에는 어떤 것이 있는지 알려주실 수 있을까요?",process,1,0.1
56,개인정보보호책임자가 개인정보취급자들에게 개인정보 보호 교육을 실시함에 있어 어떠한 과정과 요건을 준수해야 하는가?,process,1,0.1
57,정보주체가 자신의 개인정보를 열람하기 위해서는 어떤 절차와 방법을 따르어야 하는가?,process,1,0.1
58,전자금융서비스 제공자가 고객의 개인정보 보호를 위한 최적의 접근통제 방식을 도입하려면 어떠한 과정을 밟아야 하는가?,process,1,0.1
59,"통화정책의 자율성, 자유로운 자본이동, 그리고 환율 안정이라는 세 가지 목표를 모두 달성하기 위한 적절한 환율제도 선택 과정에는 어떠한 단계들이 포함되어 있습니까?",process,1,0.1
60,마이데이터 체계 하에서 정보전송자의 개인정보를 안전하게 전송 받기 위한 정보수신자는 어떠한 조건들과 절차들을 따르게 됩니다?,process,1,0.1
61,약국에서 영상정보처리기기를 이용하여 개인 정보를 수집하는 과정에서 범죄예방과 시설 안전 목적으로 적절히 사용되려면 어떠한 절차와 요건을 준수해야 하는가?,process,1,0.1
62,재검토 기한 안내서가 최신 상태를 유지하기 위해서는 어떻게 정기적으로 업데이트해야 하는데요? Financial 회사들의 재검토 기한 안내서를 최신 상태로 유지하기 위해 매 3년 주기에 맞추어 어떠한 과정을 밟아야 합니까?,process,1,0.1
63,"근로자가 귀하의 기관에서 일하게 될 때, 근로계약 이행과 직원 교육훈련 과정 중에 개인 정보 보호와 관련된 동의 절차는 어떻게 이루어져야 하는지를 설명해 주세요?",process,1,0.1
64,개인정보 처리자가 정보주체로부터 개인정보의 정정이나 삭제 요청을 받으면 어떻게 하여야 하는지를 설명해 주세요?,process,1,0.1
65,의료기관에서 환자 정보 보호를 위한 전반적인 과정과 기준 설정에는 어떠한 순서와 방법이 필요한가요?,process,1,0.1
66,"개인이 자신의 개인정보가 잘못 처리되었다는 판단 하에 이를 수정하거나 삭제하고자 하는 경우, 해당 과정에서 필요한 모든 절차들은 무엇이며 각각 어떻게 진행되어야 하는지를 설명해 줍니다.?",process,1,0.1
67,"개인정보처리자가 국내외 위치 상관없이 국내에서 서비스를 제공하고자 할 때, 해당 기업은 어떻게 해야하며 필요한 모든 정보들은 무엇인지 설명해 줘?",process,1,0.1
68,개인정보보호법을 준수하기 위해서 금융회사들은 어떠한 절차와 방식으로 고객의 개인정보를 안전하게 관리해야 하는가?,process,1,0.1
69,"개인정보 전송 요구 권리를 행사하려면 어떠한 절차와 과정을 따르게 되며, 이를 통해 무엇을 얻을 수 있습니까?",process,1,0.1
70,개인이 자신의 개인정보보호 관련 권리를 행사할 때 대리인을 통해 요청해야 하는 경우에는 어떠한 절차와 방법을 따르어야 하는지 설명하여라?,process,1,0.1
71,의료기관에서 다루는 다양한 형태의 환자 개인정보 중에서 고유식별정보와 민감정보를 어떻게 구분하고 이러한 정보들은 각각 어떠한 방식으로 안전하게 관리되어야 하는지를 설명해 줄 수 있겠습니까?,process,1,0.1
72,의료기관에서 고유식별정보와 민감정보를 수집하는 과정에서는 어떠한 법률적인 절차가 필요하며 이를 어떻게 이행해야 하는지를 설명하라?,process,1,0.1
73,손해배상 책임을 이행하기 위한 조치로서 해외사업자의 국내 지사를 대상으로 적용될 필요성과 그 과정은 무엇인지 설명하시오?,process,1,0.1
74,지정신청자가 개인정보관리 전문기관으로 지정되기 위해서는 어떠한 과정과 절차를 밟아야 하는가?,process,1,0.1
75,"관리용 단말기가 해킹 위협에 노출되었을 때, 이를 효과적으로 막기 위해서는 어떠한 순서와 과정을 따르게 되어야 하는가?",process,1,0.1
76,"개인정보 처리자가 열람 등 요청을 받았을 때, 어떻게 해서 수수료와 우송료(사본의 우송을 청구하는 경우에 한함)를 부과하고 이를 계산해야 할까요?",process,1,0.1
77,유럽 연합 내에서 EURIBOR가 어떻게 결정되는지를 설명해 주세요.?,process,1,0.1
78,해외 사업자가 국내에서 개인정보 처리 업무를 수행할 때 필요한 적절한 조치와 과정은 무엇일까요?,process,1,0.1
79,약사가 환자의 개인 정보 처리 시스템에 대해 안전하게 접근하려면 몇 가지 중요한 기술적 조치 중에서 계정 정보 또는 비밀번호 관련하여 어떠한 정책과 절차를 따라야 하는가?,process,1,0.1
80,해외 사업자가 국내에서 수집한 개인정보를 보호하기 위해서는 개인정보 보호법을 어떻게 준수해야 하는지를 설명해 줄 수 있겠습니까?,process,1,0.1
81,개인정보보호 책임자가 개인정보 보호법과 관련 규정을 준수하지 않을 때 적절하게 대응하기 위한 과정은 무엇인가?,process,1,0.1
82,법령 준수와 근로계약 체결을 위해서 의료기관에서는 어떠한 과정을 통해 근로자들의 개인정보를 수집해야 하는가?,process,1,0.1
83,외국환평형기금을 이용하여 국가 부채 관리를 수행하려 할 때 필요한 주요 과정과 고려사항들은 무엇인가요?,process,1,0.1
84,개인정보 처리 목적 달성을 위한 최소한의 범위 내에서 수집된 개인 정보가 추가적인 목적으로 사용되려면 어떠한 절차와 조치를 취해야 하는가?,process,1,0.1
85,개인정보 처리 기관에서 개인정보를 파기할 때 필요한 절차와 방법은 무엇일까요?,process,1,0.1
86,개인정보 전송요구권을 행사하려는 이용자가 해당 권리를 적극적으로 사용할 수 있도록 지원하기 위한 금융기관의 주요 과정과 절차는 무엇인가요?,process,1,0.1
87,의료법 제21조의2 제1항에서 환자가 자신의 진료 기록 사본이나 의사의 의견 등 정보를 다른 의료기관에게 제공받기 위해서는 어떠한 과정을 밟아야 하나요?,process,1,0.1
88,"개인정보 처리자를 위한 정보통신망 상의 보안 강화를 위해서는 어떠한 순서와 과정을 따르게 되며, 특히 외부로부터의 접속을 허용할 때에는 어떻게 해야 하는지 설명해 주세요?",process,1,0.1
89,환자의 개인정보를 수집하고 사용할 때에는 어떠한 절차와 과정을 통해 정보 주체인 환자들에게 필요한 사항을 알려야 하는가?,process,1,0.1
90,접근 통제 정책을 효율적으로 운영하려면 개인 정보 처리자가 어떠한 절차와 과정을 따르는 것이 필요합니까?,process,1,0.1
91,"창업이나 합병, 분할 후 1년 이하와 1년 초과인 경우 각각 어떻게 상시근로자를 계산해야 하는지를 설명해 줄 수 있겠습니까?",process,1,0.1
92,개인정보보호법에서 요구하는 물리적 안전 조치를 준수하기 위해서는 어떠한 과정과 절차를 따르어야 하는가?,process,1,0.1
93,정보통신망을 통해 외부에서 개인정보 처리 시스템에 안전하게 접속하기 위해서는 어떠한 과정과 보안조치를 취해야 하는가?,process,1,0.1
94,"개인 정보 주체가 자신의 개인정보 처리 정지를 요청했을 때, 개인정보 처리 기관에서는 어떠한 절차와 과정을 통해 이를 수행해야 하는가?",process,1,0.1
95,개인정보처리자가 정보주체로부터 동의철회 통지를 받았을 때 이를 어떻게 대응해야 하는지 설명하라?,process,1,0.1
96,약국이 개인정보 처리 업무를 위탁할 때 어떻게 하면 정보주체가 언제든 쉽게 해당 사실을 알 수 있게 할 수 있습니까?,process,1,0.1
97,금융회사가 고객 정보 유출 사태 대비를 위한 내부 조치 과정에서 필요한 법령 준거와 순서는 무엇인가요?,process,1,0.1
98,기록물평가심의회의 심사 과정에서 민간전문가들과 공무원들의 역할 분담과 협업 방식은 어떻게 이루어져야 하는가?,process,1,0.1
99,감염인이 아닌 일반 직원이 회사 내에서 감염인 관련 비밀정보를 우발적으로 접하게 되었을 때 적절한 대응절차는 무엇일까요?,process,1,0.1
